,key_fangraphs,Name,playerID,awardID,yearID,lgID
0,1000001,Hank Aaron,aaronha01,TSN All-Star,1956,ML
1,1000001,Hank Aaron,aaronha01,TSN Player of the Year,1956,NL
2,1000001,Hank Aaron,aaronha01,Most Valuable Player,1957,NL
3,1000001,Hank Aaron,aaronha01,Gold Glove,1958,NL
4,1000001,Hank Aaron,aaronha01,TSN All-Star,1958,ML
5,1000001,Hank Aaron,aaronha01,Gold Glove,1959,NL
6,1000001,Hank Aaron,aaronha01,TSN All-Star,1959,ML
7,1000001,Hank Aaron,aaronha01,Gold Glove,1960,NL
8,1000001,Hank Aaron,aaronha01,TSN All-Star,1963,NL
9,1000001,Hank Aaron,aaronha01,TSN Player of the Year,1963,NL
10,1000001,Hank Aaron,aaronha01,TSN All-Star,1965,NL
11,1000001,Hank Aaron,aaronha01,TSN All-Star,1967,NL
12,1000001,Hank Aaron,aaronha01,TSN All-Star,1969,NL
13,1000001,Hank Aaron,aaronha01,Lou Gehrig Memorial Award,1970,ML
14,1000001,Hank Aaron,aaronha01,TSN All-Star,1970,NL
15,1000001,Hank Aaron,aaronha01,TSN All-Star,1971,NL
16,1000012,Jim Abbott,abbotji01,TSN All-Star,1991,AL
17,1000012,Jim Abbott,abbotji01,Hutch Award,1995,ML
18,1000020,Ted Abernathy,abernte02,TSN Fireman of the Year,1965,NL
19,1000020,Ted Abernathy,abernte02,TSN Fireman of the Year,1967,NL
20,945,Bobby Abreu,abreubo01,Silver Slugger,2004,NL
21,945,Bobby Abreu,abreubo01,Gold Glove,2005,NL
22,15676,José Abreu,abreujo02,Rookie of the Year,2014,AL
23,15676,José Abreu,abreujo02,Silver Slugger,2014,AL
24,15676,José Abreu,abreujo02,Silver Slugger,2018,AL
25,15676,José Abreu,abreujo02,Most Valuable Player,2020,AL
26,15676,José Abreu,abreujo02,Hank Aaron Award,2020,AL
27,15676,José Abreu,abreujo02,Silver Slugger,2020,AL
28,15676,José Abreu,abreujo02,TSN All-Star,2020,AL
29,18401,Ronald Acuna,acunaro01,Rookie of the Year,2018,NL
30,18401,Ronald Acuna,acunaro01,TSN All-Star,2018,NL
31,18401,Ronald Acuna,acunaro01,Silver Slugger,2019,NL
32,18401,Ronald Acuna,acunaro01,TSN All-Star,2019,NL
33,18401,Ronald Acuna,acunaro01,Silver Slugger,2020,NL
34,18401,Ronald Acuna,acunaro01,TSN All-Star,2020,NL
35,1000041,Babe Adams,adamsba01,Baseball Magazine All-Star,1909,ML
36,1000041,Babe Adams,adamsba01,Baseball Magazine All-Star,1909,NL
37,1000080,Tommie Agee,ageeto01,Gold Glove,1966,AL
38,1000080,Tommie Agee,ageeto01,Rookie of the Year,1966,AL
39,1000080,Tommie Agee,ageeto01,Gold Glove,1970,NL
40,12147,Nick Ahmed,ahmedni01,Gold Glove,2018,NL
41,12147,Nick Ahmed,ahmedni01,Gold Glove,2019,NL
42,1000092,Eddie Ainsmith,ainsmed01,Baseball Magazine All-Star,1912,AL
43,1000097,Jack Aker,akerja01,TSN Fireman of the Year,1966,AL
44,16556,Ozzie Albies,albieoz01,Silver Slugger,2019,NL
45,16556,Ozzie Albies,albieoz01,Silver Slugger,2021,NL
46,16556,Ozzie Albies,albieoz01,TSN All-Star,2021,NL
47,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1911,ML
48,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1911,NL
49,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1913,NL
50,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1914,ML
51,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1914,NL
52,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1915,ML
53,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1915,NL
54,1000128,Pete Alexander,alexape01,Pitching Triple Crown,1915,NL
55,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1916,ML
56,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1916,NL
57,1000128,Pete Alexander,alexape01,Pitching Triple Crown,1916,NL
58,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1917,ML
59,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1917,NL
60,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1920,ML
61,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1920,NL
62,1000128,Pete Alexander,alexape01,Pitching Triple Crown,1920,NL
63,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1923,ML
64,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1923,NL
65,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1925,NL
66,1000128,Pete Alexander,alexape01,TSN All-Star,1926,ML
67,1000128,Pete Alexander,alexape01,Baseball Magazine All-Star,1927,NL
68,260,Antonio Alfonseca,alfonan01,Rolaids Relief Man Award,2000,NL
69,260,Antonio Alfonseca,alfonan01,TSN Fireman of the Year,2000,NL
70,859,Edgardo Alfonzo,alfoned01,Silver Slugger,1999,NL
71,859,Edgardo Alfonzo,alfoned01,TSN All-Star,1999,NL
72,1000137,Dick Allen,allendi01,Rookie of the Year,1964,NL
73,1000137,Dick Allen,allendi01,Most Valuable Player,1972,AL
74,1000137,Dick Allen,allendi01,TSN All-Star,1972,AL
75,1000137,Dick Allen,allendi01,TSN Player of the Year,1972,AL
76,1000137,Dick Allen,allendi01,TSN All-Star,1974,AL
77,1000150,Johnny Allen,allenjo02,Baseball Magazine All-Star,1936,AL
78,1000150,Johnny Allen,allenjo02,Baseball Magazine All-Star,1937,AL
79,1000150,Johnny Allen,allenjo02,TSN Major League Player of the Year,1937,ML
80,1000150,Johnny Allen,allenjo02,Baseball Magazine All-Star,1938,AL
81,1000160,Gene Alley,alleyge01,Gold Glove,1966,NL
82,1000160,Gene Alley,alleyge01,TSN All-Star,1966,NL
83,1000160,Gene Alley,alleyge01,Gold Glove,1967,NL
84,1000160,Gene Alley,alleyge01,TSN All-Star,1967,NL
85,1000166,Bob Allison,allisbo01,Rookie of the Year,1959,AL
86,860,Roberto Alomar,alomaro01,Gold Glove,1991,AL
87,860,Roberto Alomar,alomaro01,ALCS MVP,1992,AL
88,860,Roberto Alomar,alomaro01,Gold Glove,1992,AL
89,860,Roberto Alomar,alomaro01,Silver Slugger,1992,AL
90,860,Roberto Alomar,alomaro01,TSN All-Star,1992,AL
91,860,Roberto Alomar,alomaro01,Gold Glove,1993,AL
92,860,Roberto Alomar,alomaro01,Gold Glove,1994,AL
93,860,Roberto Alomar,alomaro01,Gold Glove,1995,AL
94,860,Roberto Alomar,alomaro01,Gold Glove,1996,AL
95,860,Roberto Alomar,alomaro01,Silver Slugger,1996,AL
96,860,Roberto Alomar,alomaro01,TSN All-Star,1996,AL
97,860,Roberto Alomar,alomaro01,All-Star Game MVP,1998,ML
98,860,Roberto Alomar,alomaro01,Gold Glove,1998,AL
99,860,Roberto Alomar,alomaro01,TSN All-Star,1998,AL
100,860,Roberto Alomar,alomaro01,Gold Glove,1999,AL
101,860,Roberto Alomar,alomaro01,Silver Slugger,1999,AL
102,860,Roberto Alomar,alomaro01,TSN All-Star,1999,AL
103,860,Roberto Alomar,alomaro01,Gold Glove,2000,AL
104,860,Roberto Alomar,alomaro01,Silver Slugger,2000,AL
105,860,Roberto Alomar,alomaro01,TSN All-Star,2000,AL
106,860,Roberto Alomar,alomaro01,Gold Glove,2001,AL
107,221,Sandy Alomar,alomasa02,Gold Glove,1990,AL
108,221,Sandy Alomar,alomasa02,Rookie of the Year,1990,AL
109,221,Sandy Alomar,alomasa02,All-Star Game MVP,1997,ML
110,19251,Pete Alonso,alonspe01,Rookie of the Year,2019,NL
111,1000177,Felipe Alou,aloufe01,TSN All-Star,1966,NL
112,1000179,Matty Alou,alouma01,TSN All-Star,1969,NL
113,261,Moises Alou,aloumo01,Silver Slugger,1994,NL
114,261,Moises Alou,aloumo01,TSN All-Star,1994,NL
115,261,Moises Alou,aloumo01,Babe Ruth Award,1997,NL
116,261,Moises Alou,aloumo01,Silver Slugger,1998,NL
117,261,Moises Alou,aloumo01,TSN All-Star,1998,NL
118,5417,Jose Altuve,altuvjo01,Silver Slugger,2014,AL
119,5417,Jose Altuve,altuvjo01,Gold Glove,2015,AL
120,5417,Jose Altuve,altuvjo01,Silver Slugger,2015,AL
121,5417,Jose Altuve,altuvjo01,Silver Slugger,2016,AL
122,5417,Jose Altuve,altuvjo01,TSN Major League Player of the Year,2016,ML
123,5417,Jose Altuve,altuvjo01,TSN All-Star,2016,AL
124,5417,Jose Altuve,altuvjo01,Most Valuable Player,2017,AL
125,5417,Jose Altuve,altuvjo01,Hank Aaron Award,2017,AL
126,5417,Jose Altuve,altuvjo01,Silver Slugger,2017,AL
127,5417,Jose Altuve,altuvjo01,TSN All-Star,2017,AL
128,5417,Jose Altuve,altuvjo01,Silver Slugger,2018,AL
129,5417,Jose Altuve,altuvjo01,TSN All-Star,2018,AL
130,5417,Jose Altuve,altuvjo01,ALCS MVP,2019,AL
131,2495,Pedro Alvarez,alvarpe01,Silver Slugger,2013,NL
132,19556,Yordan Alvarez,alvaryo01,Rookie of the Year,2019,AL
133,19556,Yordan Alvarez,alvaryo01,ALCS MVP,2021,AL
134,1000206,Ruben Amaro,amaroru01,Gold Glove,1964,NL
135,2,Garret Anderson,anderga01,Silver Slugger,2002,AL
136,2,Garret Anderson,anderga01,TSN All-Star,2002,AL
137,2,Garret Anderson,anderga01,All-Star Game MVP,2003,ML
138,2,Garret Anderson,anderga01,Silver Slugger,2003,AL
139,2,Garret Anderson,anderga01,TSN All-Star,2003,AL
140,15172,Tim Anderson,anderti01,SIlver Slugger,2020,AL
141,15172,Tim Anderson,anderti01,TSN All-Star,2020,AL
142,1000266,Joaquin Andujar,andujjo01,Gold Glove,1984,NL
143,1000277,Johnny Antonelli,antonjo02,TSN All-Star,1954,ML
144,1000277,Johnny Antonelli,antonjo02,TSN Pitcher of the Year,1954,NL
145,1000277,Johnny Antonelli,antonjo02,TSN All-Star,1959,ML
146,1000278,Luis Aparicio,aparilu01,Rookie of the Year,1956,AL
147,1000278,Luis Aparicio,aparilu01,Gold Glove,1958,AL
148,1000278,Luis Aparicio,aparilu01,Gold Glove,1959,AL
149,1000278,Luis Aparicio,aparilu01,Gold Glove,1960,AL
150,1000278,Luis Aparicio,aparilu01,Gold Glove,1961,AL
151,1000278,Luis Aparicio,aparilu01,Gold Glove,1962,AL
152,1000278,Luis Aparicio,aparilu01,TSN All-Star,1963,AL
153,1000278,Luis Aparicio,aparilu01,Gold Glove,1964,AL
154,1000278,Luis Aparicio,aparilu01,Gold Glove,1966,AL
155,1000278,Luis Aparicio,aparilu01,TSN All-Star,1966,AL
156,1000278,Luis Aparicio,aparilu01,Gold Glove,1968,AL
157,1000278,Luis Aparicio,aparilu01,TSN All-Star,1968,AL
158,1000278,Luis Aparicio,aparilu01,Gold Glove,1970,AL
159,1000278,Luis Aparicio,aparilu01,TSN All-Star,1970,AL
160,1000278,Luis Aparicio,aparilu01,TSN All-Star,1972,AL
161,1000284,Luke Appling,applilu01,Baseball Magazine All-Star,1936,AL
162,1000284,Luke Appling,applilu01,Baseball Magazine All-Star,1936,ML
163,1000284,Luke Appling,applilu01,TSN All-Star,1936,ML
164,1000284,Luke Appling,applilu01,Baseball Magazine All-Star,1937,AL
165,1000284,Luke Appling,applilu01,Baseball Magazine All-Star,1937,ML
166,1000284,Luke Appling,applilu01,Baseball Magazine All-Star,1940,AL
167,1000284,Luke Appling,applilu01,Baseball Magazine All-Star,1940,ML
168,1000284,Luke Appling,applilu01,TSN All-Star,1940,ML
169,1000284,Luke Appling,applilu01,Baseball Magazine All-Star,1943,AL
170,1000284,Luke Appling,applilu01,TSN All-Star,1943,ML
171,1000290,Jimmy Archer,archeji01,Baseball Magazine All-Star,1910,ML
172,1000290,Jimmy Archer,archeji01,Baseball Magazine All-Star,1910,NL
173,1000290,Jimmy Archer,archeji01,Baseball Magazine All-Star,1911,NL
174,1000290,Jimmy Archer,archeji01,Baseball Magazine All-Star,1912,ML
175,1000290,Jimmy Archer,archeji01,Baseball Magazine All-Star,1912,NL
176,1000290,Jimmy Archer,archeji01,Baseball Magazine All-Star,1913,ML
177,1000290,Jimmy Archer,archeji01,Baseball Magazine All-Star,1913,NL
178,1000290,Jimmy Archer,archeji01,Baseball Magazine All-Star,1914,ML
179,1000290,Jimmy Archer,archeji01,Baseball Magazine All-Star,1914,NL
180,9777,Nolan Arenado,arenano01,Gold Glove,2013,NL
181,9777,Nolan Arenado,arenano01,Gold Glove,2014,NL
182,9777,Nolan Arenado,arenano01,Gold Glove,2015,NL
183,9777,Nolan Arenado,arenano01,Silver Slugger,2015,NL
184,9777,Nolan Arenado,arenano01,Silver Slugger,2016,NL
185,9777,Nolan Arenado,arenano01,Gold Glove,2016,NL
186,9777,Nolan Arenado,arenano01,Silver Slugger,2017,NL
187,9777,Nolan Arenado,arenano01,Gold Glove,2017,NL
188,9777,Nolan Arenado,arenano01,Silver Slugger,2018,NL
189,9777,Nolan Arenado,arenano01,Gold Glove,2018,NL
190,9777,Nolan Arenado,arenano01,TSN All-Star,2018,NL
191,9777,Nolan Arenado,arenano01,Gold Glove,2019,NL
192,9777,Nolan Arenado,arenano01,Gold Glove,2020,NL
193,9777,Nolan Arenado,arenano01,Gold Glove,2021,NL
194,1000305,Tony Armas,armasto01,TSN All-Star,1981,AL
195,1000305,Tony Armas,armasto01,TSN Player of the Year,1981,AL
196,1000305,Tony Armas,armasto01,Silver Slugger,1984,AL
197,1000305,Tony Armas,armasto01,TSN All-Star,1984,AL
198,19290,Randy Arozarena,arozara01,ALCS MVP,2020,AL
199,19290,Randy Arozarena,arozara01,Rookie of the Year,2021,AL
200,4153,Jake Arrieta,arrieja01,Cy Young Award,2015,NL
201,4153,Jake Arrieta,arrieja01,Silver Slugger,2016,NL
202,978,Bronson Arroyo,arroybr01,Gold Glove,2010,NL
203,1000328,Luis Arroyo,arroylu01,TSN Fireman of the Year,1961,AL
204,1106,Rich Aurilia,aurilri01,Silver Slugger,2001,NL
205,1106,Rich Aurilia,aurilri01,TSN All-Star,2001,NL
206,546,Brad Ausmus,ausmubr01,Gold Glove,2001,NL
207,546,Brad Ausmus,ausmubr01,Gold Glove,2002,NL
208,546,Brad Ausmus,ausmubr01,Gold Glove,2006,NL
209,1000378,Earl Averill,averiea01,Baseball Magazine All-Star,1930,AL
210,1000378,Earl Averill,averiea01,Baseball Magazine All-Star,1931,AL
211,1000378,Earl Averill,averiea01,TSN All-Star,1931,ML
212,1000378,Earl Averill,averiea01,Baseball Magazine All-Star,1932,AL
213,1000378,Earl Averill,averiea01,TSN All-Star,1932,ML
214,1000378,Earl Averill,averiea01,Baseball Magazine All-Star,1933,AL
215,1000378,Earl Averill,averiea01,TSN All-Star,1934,ML
216,1000378,Earl Averill,averiea01,Baseball Magazine All-Star,1936,AL
217,1000378,Earl Averill,averiea01,Baseball Magazine All-Star,1936,ML
218,1000378,Earl Averill,averiea01,TSN All-Star,1936,ML
219,1000378,Earl Averill,averiea01,Baseball Magazine All-Star,1938,AL
220,1706,Steve Avery,averyst01,NLCS MVP,1991,NL
221,1706,Steve Avery,averyst01,TSN All-Star,1993,NL
222,7476,Alex Avila,avilaal01,Silver Slugger,2011,AL
223,1000380,Bobby Avila,avilabo01,TSN All-Star,1954,ML
224,9059,John Axford,axforjo01,Rolaids Relief Man Award,2011,NL
225,1000384,Bobby Ayala,ayalabo01,TSN Player of the Year,1954,AL
226,4082,Erick Aybar,aybarer01,Gold Glove,2011,AL
227,18030,Harrison Bader,baderha01,Gold Glove,2021,NL
228,175,Carlos Baerga,baergca01,Silver Slugger,1993,AL
229,175,Carlos Baerga,baergca01,TSN All-Star,1993,AL
230,175,Carlos Baerga,baergca01,Silver Slugger,1994,AL
231,175,Carlos Baerga,baergca01,TSN All-Star,1995,AL
232,12979,Javier Baez,baezja01,NLCS MVP,2016,NL
